cod,soc_code,peso,nivel_cod_isco,metodo,fonte_cod,fonte_soc
1111,11-1031,1.0,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1112,11-1011,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1112,11-1021,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1112,11-9161,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1113,11-1011,0.5,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1113,11-1031,0.5,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1114,11-1021,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1114,11-2031,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1114,11-9199,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1120,11-1011,0.5,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1120,11-1021,0.5,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1211,11-3031,1.0,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1212,11-3111,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1212,11-3121,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
1212,11-3131,0.3333333333333333,4,reparticao_uniforme_entre_soc,IBGE Estrutura_Ocupacao_COD.xls,reproducao arquivada da ponte BLS ISCO08-SOC2010
