 origem  destino  diferenca_pos_pre  erro_bootstrap_upa     ic025     ic975
      1        1          -0.035952            0.001402 -0.038545 -0.033083
      1        2           0.020330            0.000896  0.018472  0.021939
      1        3           0.010405            0.000647  0.009009  0.011497
      1        4           0.003365            0.000455  0.002549  0.004357
      1        5           0.001853            0.000385  0.001139  0.002608
      2        1           0.020534            0.001159  0.018578  0.022956
      2        2          -0.049730            0.001715 -0.052985 -0.046475
      2        3           0.015953            0.000866  0.014165  0.017590
      2        4           0.007504            0.000724  0.006122  0.008945
      2        5           0.005739            0.000602  0.004554  0.006903
      3        1           0.011725            0.000934  0.009751  0.013370
      3        2           0.018315            0.000948  0.016285  0.020134
      3        3          -0.064227            0.001849 -0.067768 -0.060753
      3        4           0.015482            0.000936  0.013852  0.017635
      3        5           0.018706            0.001009  0.016683  0.020485
      4        1           0.006862            0.000872  0.005221  0.008511
      4        2           0.012241            0.001170  0.009759  0.014295
      4        3           0.024621            0.001419  0.021908  0.027248
      4        4          -0.080589            0.002833 -0.085772 -0.074598
      4        5           0.036866            0.002042  0.032644  0.040566
      5        1           0.002614            0.000634  0.001401  0.003874
      5        2           0.008169            0.000684  0.006978  0.009580
      5        3           0.019237            0.000953  0.017305  0.020971
      5        4           0.027839            0.001260  0.025337  0.030234
      5        5          -0.057859            0.002018 -0.061318 -0.054075
