pos,q_origem,q_destino,peso_total,probabilidade
False,1,1,197418930.8425184,0.8978322774361795
False,1,2,11249571.92398408,0.05116139945439027
False,1,3,5469723.43452531,0.024875498146038157
False,1,4,2887949.41536429,0.013133969420518048
False,1,5,2857800.27079861,0.012996855542874013
False,2,1,10688427.63880957,0.07110641262818697
False,2,2,125442677.95365934,0.834526753717268
False,2,3,6580876.42448042,0.04378029494208466
False,2,4,4166714.81263464,0.027719712644672576
False,2,5,3437248.57887022,0.022866826067787883
False,3,1,5297651.66574633,0.037844895135838455
False,3,2,6635119.5569431,0.047399379893144966
False,3,3,114433646.99243614,0.8174809601850617
False,3,4,6348326.84578609,0.04535061550388971
False,3,5,7268511.51124215,0.051924149282065214
False,4,1,2761323.15506412,0.02846917906011496
False,4,2,4232875.58808387,0.04364085124747047
False,4,3,6339869.70337604,0.06536391275762117
False,4,4,72498306.09366862,0.7474558904670282
False,4,5,11161049.44415773,0.11507016646776523
False,5,1,2883589.21209711,0.018805884262243173
False,5,2,3578597.51689152,0.02333851522314071
False,5,3,7431619.99718138,0.04846674587408546
False,5,4,11136334.0944273,0.07262775474637181
False,5,5,128304271.5306757,0.8367610998941589
True,1,1,162377641.34802508,0.8618797866384493
True,1,2,13468874.05297176,0.07149106366285223
True,1,3,6646733.83388745,0.035280014483737625
True,1,4,3108470.13825361,0.016499362580269412
True,1,5,2797688.36948852,0.014849772634691396
True,2,1,13137603.51370468,0.0916401068196834
True,2,2,112509176.56578264,0.784797086312397
True,2,3,8563410.58493884,0.059733258042532454
True,2,4,5049637.98394597,0.035223270649537855
True,2,5,4101020.3252658,0.028606278175849254
True,3,1,6541194.78914009,0.049569431006971046
True,3,2,8671701.88544677,0.0657144974550105
True,3,3,99399585.72660893,0.7532539643945347
True,3,4,8027422.34447221,0.06083212179046622
True,3,5,9320350.92521491,0.07062998535301755
True,4,1,3158568.65110797,0.035330679582023905
True,4,2,4995858.64645278,0.05588198344620158
True,4,3,8044634.39544259,0.08998455679606981
True,4,4,59618010.0440067,0.6668668763757327
True,4,5,13583095.15689358,0.151935903799972
True,5,1,2894836.57764243,0.021419703235428734
True,5,2,4258136.61703307,0.031507140464226514
True,5,3,9150103.4514871,0.0677041674884263
True,5,4,13577882.59978631,0.1004665403564063
True,5,5,105267345.3698824,0.7789024484555122
