variavel,periodo,celulas,media_ponderada
pareado,Pre,2111852,0.783350449854495
pareado,Pos,1902586,0.8122576085052905
muda_ocupacao_2,Pre,1509307,0.2092235400046537
muda_ocupacao_2,Pos,1411950,0.28035020131106897
muda_ocupacao_3,Pre,1509307,0.2362332211457761
muda_ocupacao_3,Pos,1411950,0.3179359140226614
sai_do_emprego,Pre,1661274,0.07900299016211587
sai_do_emprego,Pos,1558368,0.08121559653939865
formal_para_informal,Pre,878324,0.05231276356259032
formal_para_informal,Pos,835566,0.08811536895980931
mobilidade_descendente_aioe,Pre,1490487,0.12763708599128173
mobilidade_descendente_aioe,Pos,1395640,0.17395707226565083
mobilidade_ascendente_aioe,Pre,1490487,0.12872367826715805
mobilidade_ascendente_aioe,Pos,1395640,0.1744987902363832
