                              tabela  linhas
                05_diferencas_matriz      25
                 05_matriz_transicao      50
       05_pnadc_formal_para_informal       4
 05_pnadc_mobilidade_ascendente_aioe       4
05_pnadc_mobilidade_descendente_aioe       4
            05_pnadc_muda_ocupacao_2       4
            05_pnadc_muda_ocupacao_3       4
                    05_pnadc_pareado       4
             05_pnadc_sai_do_emprego       4
                06_auditoria_modelos       7
          06_coeficientes_principais      14
            06_descritivas_desfechos      14
                     06_efeitos_aioe       7
                 06_escala_exposicao       3
